Sl. No.,rpm,ws,UTS (MPa),,
1,600,40,210.0918,,
2,600,50,214.6092,,Tensile strength of the base material is 270 MPa
3,600,60,215.4662,,
4,600,80,221.075,,
5,600,100,228.1527,,
6,600,150,150.709,,
7,600,200,146.2,,
8,1000,40,225.5982,,
9,1000,50,224.5843,,
10,1000,60,221.5021,,
11,1000,80,229.4368,,
12,1000,100,235.4119,,
13,1000,150,244.8175,,
14,1000,200,249.3077,,
15,1400,40,191.0587,,
16,1400,50,199.8093,,
17,1400,60,192.8959,,
18,1400,80,188.4414,,
19,1400,100,233.2595,,
20,1400,150,231.327,,
21,1400,200,241.6836,,
22,1800,40,190.3269,,
23,1800,50,195.139,,
24,1800,60,197.9676,,
25,1800,80,205.0572,,
26,1800,100,208.2467,,
27,1800,150,218.3649,,
28,1800,200,241.6836,,
29,2200,40,185.7625,,
30,2200,50,171.4773,,
31,2200,60,194.1913,,
32,2200,80,207.3997,,
33,2200,100,211.9429,,
34,2200,150,190,,
35,2200,200,190.0223,,
36,2600,40,178.4046,,
37,2600,50,186.0936,,
38,2600,60,188.5268,,
39,2600,80,193.8919,,
40,2600,100,210.8388,,
41,2600,150,226.2221,,
42,2600,200,225.6616,,
