force,torque,pow,rpm,vel,uts,fpr
4312.0571,8.455,2.47349,1383.1964,39.024,191.0587,0.028212913
8049.9331,14.062,2.467242,990.8306,191.86,249.3077,0.193635522
4876.9702,11.392,2.471188,998.8838,44.689,225.5982,0.044738938
4258.5264,7.298,2.460666,1760.5524,57.907,197.9676,0.032891381
3828.1875,6.586,2.470202,1773.9846,42.343,190.3269,0.023868866
4125.7461,6.586,2.479737,2160.9863,60.654,194.1913,0.028067739
3291.3855,5.874,2.469544,2560.3865,41.885,178.4046,0.016358858
4274.9741,6.942,2.461652,1765.4681,40.398,190.3269,0.022882317
3845.2334,6.23,2.469544,2551.2319,34.962,178.4046,0.013703968
5811.5137,17.533,2.460008,599.4709,34.561,210.0918,0.057652507
1649.579,4.45,2.471517,2560.6694,45.032,178.4046,0.017586027
5279.7954,7.565,2.460995,1767.179,59.681,197.9676,0.033771904
4728.9385,7.387,2.458693,1766.8383,59.452,197.9676,0.033648806
3293.1799,6.052,2.457378,2170.3088,41.485,185.7625,0.019114791
3998.05,8.366,2.47612,1384.5734,41.771,191.0587,0.030168859
1471.0438,4.45,2.468886,2176.4915,47.436,171.4773,0.02179471
4219.0513,6.942,2.460008,1768.1486,48.752,195.139,0.027572343
4191.8369,7.565,2.461652,1769.1366,45.833,195.139,0.025906988
5509.4692,8.366,2.482368,1760.9318,146.599,218.3649,0.083250811
4921.8281,11.125,2.472503,998.6472,43.03,225.5982,0.04308829
4305.1787,8.277,2.474147,1380.1864,49.324,199.8093,0.035737202
5309.7012,11.481,2.487629,1000.11,44.975,224.5843,0.044970053
1562.2551,4.628,2.472174,1779.55,51.613,195.139,0.0290034
4934.0894,13.528,2.199584,599.8845,61.111,215.4662,0.101871277
5045.9355,13.973,2.19498,599.468,63.801,215.4662,0.106429367
5953.2651,12.015,2.47349,998.6598,153.007,244.8175,0.153212335
5932.6309,17.177,2.463625,599.6136,35.419,210.0918,0.059069708
4764.8247,11.036,2.472832,1000.4792,61.283,221.5021,0.061253647
3638.8862,6.408,2.470859,2543.7661,41.942,178.4046,0.016488151
4120.9614,9.078,2.474147,1377.036,41.256,191.0587,0.029960001
6296.5791,8.722,2.465269,1754.7585,151.691,218.3649,0.086445514
2315.8713,9.078,2.001306,599.5698,151.749,150.709,0.25309647
2349.6646,5.607,2.463296,1773.3232,35.706,190.3269,0.020135077
